Course Report:

Module Name	Program	Students Enrolled	Lecturer	Room
19th Century American Literature	American Literature	3	Stephen Guye	Room B
Acting Techniques and Production	Introduction to Theater Arts	3	Hiram Hansom	Room A
Adobe Creative Suite Applications	Graphic Design	3	Frank Arndell	Room A
Adolescence and Identity Formation	Developmental Psychology	3	John Dovidaitis	Room B
Adulthood and Aging	Developmental Psychology	3	Arda Stelli	Room B
Aerodynamics and Flight Mechanics	Introduction to Aerospace Engineering	3	Mark Millberg	Room A
Aggregate Demand and Supply	Macroeconomics	3	Michal McPaik	Room D
Air and Water Pollution Control	Introduction to Environmental Engineering	3	Hugh Kinforth	Room A
Ancient Egyptian Civilization	World History: Ancient Civilizations	3	Miran Kislingbury	Room B
Animal Anatomy and Physiology	Introduction to Animal Science	3	Owen Krollmann	Room A
Animal Nutrition and Health	Introduction to Animal Science	3	Gwen Benzie	Room A
Applications of Differentiation	Calculus I	3	Salim Matus	Online
Applications of Genetic Engineering	Introduction to Genetic Engineering	3	Sarah Bonhill	Room A
Applications of Nanotechnology	Introduction to Nanotechnology	3	Anna Allenby	Online
Archaeology	Introduction to Anthropology	3	Betti Sharman	Room A
Argumentative Writing	English Composition	3	George Nowakowski	Room A
Assessment and Diagnosis in Clinical Practice	Introduction to Clinical Psychology	3	Jody Eaglen	Room B
Atomic Structure and Bonding	Introduction to Materials Science	3	Carley Welldrake	Room C
Atomic Structure and Periodicity	Introduction to Inorganic Chemistry	3	Gav Mishaw	Room X
Attitudes and Persuasion	Social Psychology	3	Raf Aizic	Room D
Basic Concepts of Chemistry	Fundamentals of Chemistry	3	Ema Nicholls	Room D
Basics of Drug Action and Pharmacokinetics	Introduction to Pharmacology	3	Cammy Foy	Room A
Basics of Human Nutrition	Introduction to Nutrition	3	Kristine Hagley	Room A
Basics of Linguistic Analysis	Introduction to Linguistics	3	Hugh Kinforth	Room B
Basics of the Immune System	Introduction to Immunology	3	Adam Ronaghan	Room C
Biological Databases and Sequence Analysis	Introduction to Bioinformatics	3	Rafaelita Yakunikov	Room B
Biomaterials and Tissue Engineering	Introduction to Biomedical Engineering	3	Ema Nicholls	Room A
Biomedical Imaging and Instrumentation	Introduction to Biomedical Engineering	3	Christoper Leah	Room A
Biomolecular Structure and Function	Introduction to Molecular Biology	3	Ludwig Wombwell	Room B
Biopsychosocial Model of Health	Introduction to Health Psychology	3	Jennifer Trevers	Room B
Cell Biology	Principles of Biology	3	Anna Allenby	Room E
Cellular Structure and Function	Human Anatomy and Physiology	3	Arda Stelli	Room B
Chemical Bonding and Molecular Structure	Introduction to Inorganic Chemistry	3	Tom Sherebrooke	Room X
Chemical Reactions	Fundamentals of Chemistry	3	Estelle Sunock	Room D
Chemical Thermodynamics	Introduction to Chemical Engineering	3	Pearl Pountain	Room D
Christianity, Judaism, and Islam	World Religions	3	Emma Hrachovec	Online
Circuit Analysis and Electronics	Introduction to Electrical Engineering	3	Sinead Pablos	Online
Classical and Historical Archaeology	Introduction to Archaeology	3	Lacy McKeand	Room A
Classical Greek Civilization	World History: Ancient Civilizations	3	Merle Wilton	Room B
Colonial and Early American Literature	American Literature	3	Althea Zecchi	Room B
Comparative Health Policy Studies	Introduction to Health Policy	3	Amy Balloch	Room A
Comparative Politics and Governance	Introduction to Political Science	3	Meggi Liccardi	Room D 
Composition and Lighting	Digital Photography	3	Sheppard Hamley	Online
Computational Genomics and Proteomics	Introduction to Computational Biology	3	Alice Monte	Room A
Computer Systems and Architecture	Introduction to Computer Science	3	Jacquelyn Hollyman	Room A
Consumer Theory and Demand	Microeconomics	3	Lilllie Apthorpe	Room B
Coordination Chemistry and Transition Metals	Introduction to Inorganic Chemistry	3	Orran Albutt	Room X
Coping and Adaptation to Illness	Introduction to Health Psychology	3	Mark Millberg	Room B
Corporate Social Responsibility	Business Ethics	3	Sigfried O'Farris	Room B
Criminal Justice System and Crime Prevention	Introduction to Criminology	3	Kevin Bream	Room B
Crystal Structure and Defects	Introduction to Materials Science	3	Salim Matus	Room C
Cultural Analysis and Critique	Introduction to Cultural Studies	3	Ludwig Wombwell	Room B
Cultural Anthropology	Introduction to Anthropology	3	Lonna Wegener	Room A
Cultural Diversity and Globalization	Cultural Anthropology	3	Jody Eaglen	Room E
Culture and Identity	Introduction to Cultural Studies	3	Sarah Bonhill	Room B
Culture, Illness, and Healing	Introduction to Medical Anthropology	3	Moll Fanning	Room C
Curriculum Development and Instructional Strategies	Introduction to Education	3	Michal McPaik	Room A
Cyber Threats and Risk Management	Introduction to Cybersecurity	3	Maren Hamfleet	Room A
Data Structures and Algorithms	Introduction to Computer Science	3	Ludwig Wombwell	Room A
Delivery Techniques and Audience Analysis	Public Speaking	3	Phillis Renoden	Room A
Descriptive Statistics and Data Visualization	Statistics	3	Amy Balloch	Room A
Developmental Psychology	Introduction to Psychology	3	Dennis Barkshire	Room A
Differentiation	Calculus I	3	Carley Welldrake	Online
Digital Editing and Post-Processing	Digital Photography	3	Noreen Lattimer	Online
DNA Replication and Gene Expression	Introduction to Molecular Biology	3	Jacquelyn Hollyman	Room B
Drug Development and Regulation	Introduction to Pharmacology	3	Meggi Liccardi	Room A
Eastern Religions: Hinduism, Buddhism, and Taoism	World Religions	3	Emelina Braferton	Online
Ecology	Environmental Science	3	Pierre Allcock	Room C
Economic Evaluation of Healthcare Interventions	Introduction to Health Economics	3	Ben Carlile	Room B
Economic Systems and Policy	Introduction to Economics	3	Lonna Wegener	Room C
Electromagnetic Fields and Waves	Introduction to Electrical Engineering	3	Ray Slowgrave	Online
Electronic Health Records and Clinical Informatics	Introduction to Health Informatics	3	Emelina Braferton	Room C
Engineering Design Process	Introduction to Engineering	3	Karen Alexandersen	Room B
Engineering Economy and Cost Analysis	Introduction to Industrial Engineering	3	Conan Cunio	Room B
Environmental Engineering and Water Resources	Introduction to Civil Engineering	3	Nolan Ambroisin	Online
Environmental Justice and Sustainability	Environmental Ethics	3	Nick Finnan	Room C
Environmental Policy and Sustainability	Environmental Science	3	Althea Zecchi	Room C
Environmental Systems and Processes	Introduction to Environmental Engineering	3	Michal McPaik	Room A
Epidemiological Analysis and Interpretation	Introduction to Epidemiology	3	John Dovidaitis	Room A
Epidemiology and Disease Control	Introduction to Public Health	3	Faber Collinette	Room C
Epistemology	Introduction to Philosophy	3	Yevette Gareth	Room D 
Equations and Inequalities	Algebra I	3	Conan Cunio	Room F
Ethical Decision Making in Business	Business Ethics	3	Rafaelita Yakunikov	Room B
Ethical Issues in End-of-Life Care	Introduction to Medical Ethics	3	Raf Aizic	Room B
Ethical Theories and Environmental Decision Making	Environmental Ethics	3	Emelita Tarbet	Room C
Ethical Theories and Frameworks	Business Ethics	3	Alice Monte	Room B
Ethical Theories and Principles in Medicine	Introduction to Medical Ethics	3	Arda Stelli	Room B
Ethics	Introduction to Philosophy	3	Eva Westoff	Room D
Evolutionary Biology	Principles of Biology	3	Christoper Leah	Room E
Exercise Physiology and Biomechanics	Introduction to Exercise Science	3	Emelita Tarbet	Room A
Exercise Prescription and Programming	Introduction to Exercise Science	3	Nick Finnan	Room A
Exercise Prescription for Athletes	Introduction to Sports Medicine	3	Flori McPeck	Room B
Fashion History and Trend Analysis	Introduction to Fashion Design	3	Cullen Spall	Room C
Fashion Sketching and Design Principles	Introduction to Fashion Design	3	Moll Fanning	Room C
Fiction Writing Techniques	Creative Writing	3	Beth Milburn	Room B
Film Analysis and Criticism	Introduction to Film Studies	3	Jennifer Trevers	Room B
Financial Accounting Basics	Principles of Accounting	3	Trevar Donavan	Room A
Financial Statement Analysis	Principles of Accounting	3	Aleece Follis	Room A
Fiscal and Monetary Policy	Macroeconomics	3	Hugh Kinforth	Room D 
Food Chemistry and Analysis	Introduction to Food Science	3	Meade Le Merchant	Room B
Food Microbiology and Safety	Introduction to Food Science	3	Ben Carlile	Room B
Food Processing and Technology	Introduction to Food Science	3	Karen Alexandersen	Room B
Forensic Biology and DNA Analysis	Forensic Science	3	Maxy Hourahan	Room D
Forensic Chemistry and Toxicology	Forensic Science	3	Emma Hrachovec	Room D 
Forest Ecology and Conservation	Introduction to Forestry	3	Phillis Renoden	Room G
Forest Management Practices	Introduction to Forestry	3	Yancey Foucard	Room G
Forest Policy and Economics	Introduction to Forestry	3	Beth Milburn	Room G
Foundations of Clinical Psychology	Introduction to Clinical Psychology	3	Lennie Caldwall	Room B
Foundations of Cultural Studies	Introduction to Cultural Studies	3	Noreen Lattimer	Room B
Foundations of Education	Introduction to Education	3	Lilllie Apthorpe	Room A
Foundations of Political Science	Introduction to Political Science	3	Raf Aizic	Room D
Foundations of Public Speaking	Public Speaking	3	Lane Daburn	Room A
French Literary History	French Literature	3	Sigfried O'Farris	Room D
French Literary Movements	French Literature	3	Julia Dearn	Room D 
Functional Groups and Reaction Mechanisms	Introduction to Organic Chemistry	3	Yevette Gareth	Room B
Fundamentals of Business Management	Introduction to Business Management	3	Jordon Buckby	Room C
Fundamentals of Cybersecurity	Introduction to Cybersecurity	3	Salim Matus	Room A
Fundamentals of Music Theory	Introduction to Music Theory	3	Pearl Pountain	Room B
Fundamentals of Public Health	Introduction to Public Health	3	Margot Philcott	Room C
Fundamentals of Robotics	Introduction to Robotics	3	Flori McPeck	Room D
Gene Cloning and Expression Systems	Introduction to Genetic Engineering	3	Noreen Lattimer	Room A
Genetic Engineering and Biomedical Applications	Biotechnology	3	Lane Daburn	Online
Genetics	Principles of Biology	3	Ruthie Esmonde	Room E
Genome Assembly and Annotation	Introduction to Bioinformatics	3	Giselle Miquelet	Room B
Genre Studies and Filmmaking Techniques	Introduction to Film Studies	3	Tamma Cranidge	Room B
Geologic Time and Earth's History	Physical Geology	3	Estelle Sunock	Room B
Global Governance and Institutions	Introduction to International Relations	3	Elizabet McGee	Room A
Global Health Challenges and Determinants	Introduction to Global Health	3	Beth Milburn	Room B
Global Health Governance and Policy	Introduction to Global Health	3	Sean Hearle	Room B
Global Health Interventions and Programs	Introduction to Global Health	3	Jordon Buckby	Room B
Group Dynamics and Social Influence	Social Psychology	3	Cammy Foy	Room D
Harmony and Chord Progressions	Introduction to Music Theory	3	Paul Langsbury	Room B
Health Behavior Change Theories	Introduction to Health Psychology	3	Tamma Cranidge	Room B
Health Benefits of Physical Activity	Introduction to Exercise Science	3	Kristine Hagley	Room A
Health Data Analytics and Decision Support Systems	Introduction to Health Informatics	3	Lane Daburn	Room C
Health Policy Analysis and Evaluation	Introduction to Health Policy	3	Owen Krollmann	Room A
Health Policy and Global Health Issues	Introduction to Public Health	3	Miran Kislingbury	Room C
Health Policy Formation and Implementation	Introduction to Health Policy	3	Danie Gabe	Room A
Healthcare Finance and Budgeting	Introduction to Healthcare Management	3	Phillis Renoden	Room A
Healthcare Financing and Payment Systems	Introduction to Health Economics	3	Meade Le Merchant	Room B
Healthcare Organizations and Management Structures	Introduction to Healthcare Management	3	Kane Di Bartolommeo	Room A
Healthcare Systems and Social Inequality	Introduction to Medical Sociology	3	Bert Simenon	Room A
History and Evolution of Cinema	Introduction to Film Studies	3	Bert Simenon	Room B
History and Evolution of Theater	Introduction to Theater Arts	3	Merle Wilton	Room A
Horticultural Crop Production	Introduction to Horticulture	3	Jordon Buckby	Online
